,SEMP,SEX,SSIP,WKHP,WKL
0,0.0,2,0.0,,3.0
1,0.0,1,0.0,,2.0
2,0.0,1,0.0,,3.0
3,0.0,2,0.0,,2.0
4,0.0,1,0.0,,2.0
5,0.0,1,0.0,,3.0
6,0.0,2,0.0,,3.0
7,0.0,1,0.0,,3.0
8,0.0,2,0.0,,3.0
9,3200.0,2,0.0,30.0,1.0
10,0.0,1,0.0,50.0,1.0
11,0.0,2,0.0,32.0,1.0
12,0.0,1,0.0,,3.0
13,0.0,2,0.0,,3.0
14,7600.0,1,0.0,10.0,1.0
15,0.0,2,0.0,,3.0
16,0.0,1,0.0,40.0,1.0
17,0.0,2,0.0,20.0,1.0
18,,2,,,
19,0.0,2,0.0,60.0,1.0
20,0.0,2,0.0,30.0,1.0
21,128000.0,1,0.0,40.0,1.0
22,,2,,,
23,0.0,2,0.0,24.0,1.0
24,0.0,1,0.0,20.0,1.0
25,,1,,,
26,,2,,,
27,0.0,1,0.0,30.0,1.0
28,0.0,1,0.0,,3.0
29,0.0,2,0.0,,2.0
30,,1,,,
31,,1,,,
32,0.0,1,0.0,40.0,1.0
33,0.0,2,0.0,40.0,1.0
34,0.0,1,0.0,40.0,1.0
35,0.0,2,0.0,,3.0
36,0.0,1,0.0,40.0,1.0
37,0.0,2,0.0,,2.0
38,0.0,2,0.0,,3.0
39,0.0,1,0.0,42.0,1.0
40,,2,,,
41,,2,,,
42,,1,,,
43,0.0,2,0.0,,3.0
44,0.0,1,0.0,,3.0
45,0.0,2,0.0,35.0,1.0
46,0.0,1,0.0,,3.0
47,0.0,2,0.0,,3.0
48,0.0,1,0.0,48.0,1.0
49,0.0,2,0.0,,3.0
50,,1,,,
51,0.0,1,0.0,52.0,1.0
52,0.0,2,0.0,25.0,1.0
53,0.0,2,0.0,40.0,1.0
54,0.0,1,0.0,40.0,1.0
55,0.0,2,0.0,,3.0
56,14000.0,1,0.0,12.0,1.0
57,0.0,2,0.0,8.0,1.0
58,0.0,1,0.0,,3.0
59,0.0,2,0.0,,3.0
60,0.0,1,0.0,40.0,1.0
61,0.0,2,0.0,40.0,1.0
62,0.0,2,0.0,40.0,1.0
63,0.0,1,0.0,40.0,1.0
64,,1,,,
65,,1,,,
66,0.0,2,0.0,,3.0
67,0.0,1,15400.0,,3.0
68,0.0,2,0.0,15.0,1.0
69,0.0,1,0.0,,2.0
70,0.0,2,0.0,50.0,1.0
71,0.0,2,0.0,30.0,1.0
72,0.0,2,0.0,,3.0
73,,1,,,
74,,2,,,
75,0.0,1,0.0,20.0,1.0
76,0.0,2,0.0,,2.0
77,,1,,,
78,0.0,1,0.0,45.0,1.0
79,0.0,1,0.0,32.0,1.0
80,0.0,2,0.0,24.0,1.0
81,0.0,1,0.0,40.0,1.0
82,0.0,2,7200.0,,3.0
83,0.0,1,0.0,50.0,1.0
84,0.0,2,0.0,40.0,1.0
85,0.0,1,0.0,44.0,1.0
86,0.0,2,0.0,50.0,1.0
87,0.0,2,0.0,30.0,1.0
88,0.0,1,0.0,25.0,1.0
89,0.0,1,0.0,,3.0
90,0.0,2,0.0,,3.0
91,0.0,2,0.0,40.0,1.0
92,0.0,1,0.0,60.0,1.0
93,,1,,,
94,,1,,,
95,,1,,,
96,,2,,,
97,0.0,2,0.0,40.0,1.0
98,800.0,1,0.0,25.0,1.0
99,,1,,,
100,,1,,,
101,,1,,,
102,0.0,1,0.0,,3.0
103,0.0,1,0.0,60.0,1.0
104,0.0,1,0.0,,3.0
105,0.0,2,0.0,,3.0
106,0.0,1,0.0,25.0,1.0
107,0.0,1,0.0,30.0,1.0
108,0.0,1,0.0,30.0,1.0
109,0.0,1,0.0,40.0,1.0
110,0.0,2,0.0,35.0,1.0
111,0.0,2,0.0,,3.0
112,0.0,2,0.0,40.0,1.0
113,0.0,1,0.0,30.0,1.0
114,,2,,,
115,,2,,,
116,-7300.0,2,0.0,46.0,1.0
117,0.0,1,8200.0,,3.0
118,500.0,2,0.0,40.0,1.0
119,0.0,2,0.0,30.0,1.0
120,0.0,1,0.0,48.0,1.0
121,0.0,1,0.0,40.0,1.0
122,0.0,2,0.0,32.0,1.0
123,0.0,2,0.0,8.0,1.0
124,5200.0,2,0.0,35.0,1.0
125,0.0,1,0.0,,3.0
126,0.0,2,0.0,,3.0
127,0.0,1,0.0,84.0,1.0
128,0.0,2,0.0,31.0,1.0
129,0.0,1,0.0,84.0,1.0
130,0.0,1,0.0,15.0,1.0
131,0.0,2,7200.0,40.0,1.0
132,0.0,1,0.0,40.0,1.0
133,,1,,,
134,0.0,2,0.0,40.0,1.0
135,0.0,1,0.0,40.0,1.0
136,0.0,1,0.0,60.0,1.0
137,0.0,1,0.0,60.0,1.0
138,,1,,,
139,0.0,2,0.0,30.0,1.0
140,15000.0,1,0.0,45.0,1.0
141,,2,,,
142,0.0,2,0.0,40.0,1.0
143,0.0,1,0.0,,3.0
144,0.0,2,0.0,,3.0
145,0.0,1,0.0,60.0,1.0
146,0.0,2,0.0,35.0,1.0
147,0.0,2,0.0,,2.0
148,,1,,,
149,0.0,1,0.0,30.0,1.0
150,0.0,1,0.0,,3.0
151,0.0,2,0.0,45.0,1.0
152,0.0,1,0.0,50.0,1.0
153,0.0,1,0.0,50.0,1.0
154,0.0,2,0.0,20.0,1.0
155,0.0,1,0.0,,3.0
156,,1,,,
157,,2,,,
158,0.0,1,0.0,35.0,1.0
159,0.0,2,0.0,40.0,1.0
160,0.0,1,0.0,43.0,1.0
161,0.0,2,0.0,19.0,1.0
162,,1,,,
163,,1,,,
164,,1,,,
165,40000.0,1,0.0,50.0,1.0
166,0.0,2,0.0,40.0,1.0
167,,1,,,
168,0.0,2,0.0,34.0,1.0
169,0.0,1,0.0,38.0,1.0
170,0.0,2,0.0,40.0,1.0
171,0.0,1,0.0,,2.0
172,0.0,2,0.0,,3.0
173,0.0,2,0.0,,3.0
174,0.0,2,0.0,40.0,1.0
175,20000.0,1,0.0,70.0,1.0
176,0.0,2,0.0,12.0,1.0
177,0.0,2,0.0,20.0,1.0
178,,1,,,
179,,2,,,
180,0.0,1,0.0,27.0,1.0
181,0.0,2,0.0,36.0,1.0
182,0.0,2,0.0,34.0,1.0
183,,1,,,
184,0.0,1,0.0,40.0,1.0
185,0.0,1,0.0,40.0,1.0
186,0.0,2,0.0,1.0,1.0
187,0.0,1,0.0,40.0,1.0
188,0.0,1,0.0,40.0,1.0
189,0.0,1,0.0,,3.0
190,0.0,1,0.0,,3.0
191,0.0,2,0.0,,3.0
192,0.0,1,0.0,40.0,1.0
193,0.0,2,0.0,30.0,1.0
194,0.0,2,0.0,15.0,1.0
195,5500.0,1,0.0,45.0,1.0
196,0.0,2,0.0,24.0,1.0
197,0.0,1,0.0,,2.0
198,0.0,2,0.0,,2.0
199,0.0,2,0.0,40.0,1.0
200,0.0,2,0.0,,3.0
201,0.0,2,0.0,,3.0
202,0.0,1,0.0,,3.0
203,0.0,1,0.0,38.0,1.0
204,0.0,1,0.0,60.0,1.0
205,0.0,2,0.0,,3.0
206,0.0,1,0.0,,2.0
207,0.0,2,0.0,,2.0
208,0.0,1,0.0,,2.0
209,0.0,2,0.0,36.0,1.0
210,0.0,1,0.0,40.0,1.0
211,,1,,,
212,0.0,1,0.0,,2.0
213,0.0,2,0.0,38.0,1.0
214,0.0,1,0.0,48.0,1.0
215,0.0,1,0.0,40.0,1.0
216,1500.0,2,0.0,15.0,1.0
217,,1,,,
218,68000.0,2,0.0,65.0,1.0
219,0.0,1,0.0,35.0,1.0
220,0.0,2,0.0,50.0,1.0
221,0.0,1,0.0,40.0,1.0
222,0.0,2,0.0,42.0,1.0
223,40000.0,1,0.0,70.0,1.0
224,0.0,2,0.0,40.0,1.0
225,0.0,1,0.0,40.0,1.0
226,0.0,2,0.0,,2.0
227,0.0,2,0.0,45.0,1.0
228,0.0,1,0.0,40.0,1.0
229,0.0,2,0.0,,3.0
230,0.0,2,18700.0,,3.0
231,0.0,1,7500.0,22.0,1.0
232,0.0,1,0.0,48.0,1.0
233,0.0,1,0.0,40.0,1.0
234,0.0,2,0.0,30.0,1.0
235,0.0,2,0.0,,
236,,1,,,
237,0.0,1,0.0,48.0,1.0
238,0.0,2,1300.0,,3.0
239,0.0,1,0.0,,3.0
240,0.0,1,0.0,,2.0
241,0.0,2,0.0,,2.0
242,0.0,1,0.0,,2.0
243,0.0,2,0.0,,3.0
244,0.0,1,0.0,,3.0
245,0.0,2,0.0,,3.0
246,0.0,1,0.0,,2.0
247,0.0,2,0.0,37.0,1.0
248,0.0,2,0.0,25.0,1.0
249,0.0,1,0.0,40.0,1.0
250,0.0,2,0.0,25.0,1.0
251,0.0,1,0.0,,2.0
252,,1,,,
253,,1,,,
254,0.0,1,0.0,40.0,1.0
255,0.0,2,0.0,40.0,1.0
256,0.0,1,0.0,40.0,1.0
257,0.0,2,0.0,,3.0
258,,1,,,
259,0.0,1,0.0,40.0,1.0
260,0.0,1,0.0,99.0,1.0
261,0.0,2,0.0,,2.0
262,32600.0,1,0.0,40.0,1.0
263,0.0,2,0.0,,3.0
264,0.0,1,0.0,40.0,1.0
265,0.0,2,0.0,40.0,1.0
266,25500.0,1,0.0,40.0,1.0
267,0.0,2,0.0,19.0,1.0
268,0.0,1,0.0,,3.0
269,0.0,2,0.0,,
270,,2,,,
271,,1,,,
272,0.0,1,0.0,40.0,1.0
273,0.0,2,0.0,,3.0
274,0.0,1,0.0,40.0,1.0
275,0.0,2,0.0,40.0,1.0
276,,2,,,
277,,1,,,
278,29000.0,2,0.0,40.0,1.0
279,4000.0,1,0.0,40.0,1.0
280,0.0,2,0.0,,3.0
281,,2,,,
282,,2,,,
283,,2,,,
284,0.0,1,0.0,35.0,1.0
285,0.0,2,0.0,40.0,1.0
286,,2,,,
287,0.0,2,0.0,25.0,1.0
288,,1,,,
289,0.0,2,0.0,,3.0
290,0.0,2,0.0,37.0,1.0
291,,1,,,
292,,1,,,
293,,2,,,
294,0.0,1,0.0,45.0,1.0
295,12000.0,1,0.0,55.0,1.0
296,0.0,2,0.0,10.0,1.0
297,7000.0,2,0.0,50.0,1.0
298,12000.0,1,0.0,40.0,1.0
299,,1,,,
300,,1,,,
301,0.0,1,0.0,40.0,1.0
302,0.0,2,0.0,40.0,1.0
303,0.0,1,0.0,55.0,1.0
304,0.0,2,0.0,30.0,1.0
305,0.0,1,0.0,40.0,1.0
306,0.0,1,0.0,60.0,1.0
307,0.0,2,0.0,,3.0
308,0.0,2,0.0,,2.0
309,0.0,2,0.0,40.0,1.0
310,0.0,1,0.0,30.0,1.0
311,0.0,2,0.0,40.0,1.0
312,0.0,2,0.0,,3.0
313,0.0,1,0.0,,3.0
314,0.0,2,0.0,,3.0
315,0.0,1,0.0,30.0,1.0
316,,1,,,
317,,1,,,
318,0.0,2,0.0,25.0,1.0
319,0.0,1,0.0,,2.0
320,0.0,2,0.0,20.0,1.0
321,0.0,2,0.0,35.0,1.0
322,0.0,2,0.0,,3.0
323,0.0,1,0.0,50.0,1.0
324,12000.0,2,0.0,20.0,1.0
325,,2,,,
326,0.0,1,0.0,10.0,1.0
327,0.0,2,0.0,40.0,1.0
328,,1,,,
329,,2,,,
330,,2,,,
331,30000.0,1,0.0,40.0,1.0
332,0.0,2,0.0,36.0,1.0
333,12000.0,1,0.0,30.0,1.0
334,,1,,,
335,,1,,,
336,0.0,1,0.0,50.0,1.0
337,0.0,2,0.0,,3.0
338,0.0,2,0.0,36.0,1.0
339,0.0,1,0.0,,3.0
340,0.0,1,0.0,50.0,1.0
341,0.0,2,0.0,40.0,1.0
342,0.0,2,0.0,35.0,1.0
343,0.0,2,0.0,45.0,1.0
344,0.0,1,0.0,45.0,1.0
345,,2,,,
346,,1,,,
347,,2,,,
348,0.0,2,0.0,,2.0
349,,1,,,
350,0.0,1,0.0,50.0,1.0
351,0.0,1,0.0,,3.0
352,0.0,2,0.0,10.0,1.0
353,0.0,1,0.0,40.0,1.0
354,,2,,,
355,,1,,,
356,,2,,,
357,0.0,2,0.0,20.0,1.0
358,0.0,1,0.0,7.0,1.0
359,0.0,1,0.0,70.0,1.0
360,0.0,2,0.0,37.0,1.0
361,16800.0,1,0.0,70.0,1.0
362,0.0,2,0.0,,2.0
363,,2,,,
364,,2,,,
365,,1,,,
366,,2,,,
367,,2,,,
368,,2,,,
369,0.0,2,0.0,,2.0
370,0.0,1,0.0,,3.0
371,0.0,1,0.0,40.0,1.0
372,0.0,2,0.0,40.0,1.0
373,0.0,2,0.0,40.0,1.0
374,0.0,2,0.0,,3.0
375,0.0,1,0.0,,3.0
376,0.0,2,0.0,,3.0
377,0.0,2,0.0,40.0,1.0
378,0.0,2,0.0,,2.0
379,0.0,1,0.0,50.0,1.0
380,,2,,,
381,,1,,,
382,0.0,2,0.0,,3.0
383,0.0,1,0.0,32.0,1.0
384,0.0,1,0.0,45.0,1.0
385,77000.0,2,0.0,50.0,1.0
386,0.0,2,0.0,,2.0
