,SPORDER
0,1
1,2
2,1
3,1
4,1
5,1
6,2
7,1
8,2
9,1
10,1
11,2
12,1
13,2
14,1
15,2
16,1
17,2
18,3
19,1
20,1
21,2
22,3
23,1
24,2
25,3
26,4
27,1
28,1
29,1
30,2
31,3
32,1
33,2
34,1
35,2
36,1
37,2
38,1
39,2
40,3
41,4
42,5
43,1
44,2
45,1
46,1
47,2
48,1
49,2
50,3
51,1
52,2
53,1
54,1
55,2
56,1
57,1
58,1
59,2
60,1
61,1
62,1
63,2
64,3
65,4
66,1
67,2
68,1
69,2
70,3
71,1
72,2
73,3
74,4
75,1
76,2
77,3
78,1
79,1
80,2
81,1
82,2
83,1
84,2
85,1
86,2
87,3
88,4
89,1
90,2
91,1
92,2
93,3
94,4
95,5
96,6
97,1
98,2
99,3
100,4
101,5
102,1
103,1
104,1
105,2
106,1
107,2
108,3
109,4
110,5
111,1
112,1
113,2
114,3
115,4
116,1
117,2
118,1
119,2
120,1
121,1
122,2
123,3
124,1
125,1
126,1
127,2
128,1
129,2
130,3
131,1
132,2
133,3
134,1
135,2
136,3
137,4
138,5
139,1
140,1
141,2
142,3
143,1
144,2
145,1
146,2
147,3
148,4
149,5
150,6
151,1
152,2
153,1
154,2
155,3
156,4
157,5
158,1
159,2
160,1
161,2
162,3
163,4
164,5
165,1
166,2
167,3
168,1
169,1
170,2
171,1
172,2
173,1
174,1
175,1
176,2
177,3
178,4
179,5
180,1
181,1
182,2
183,3
184,4
185,1
186,2
187,1
188,1
189,1
190,1
191,2
192,1
193,2
194,1
195,2
196,1
197,2
198,1
199,2
200,1
201,1
202,2
203,3
204,1
205,2
206,1
207,2
208,1
209,1
210,2
211,3
212,1
213,1
214,2
215,1
216,2
217,3
218,1
219,1
220,2
221,1
222,2
223,1
224,2
225,3
226,4
227,1
228,2
229,1
230,1
231,2
232,3
233,1
234,2
235,3
236,4
237,1
238,2
239,1
240,1
241,2
242,3
243,4
244,1
245,2
246,1
247,2
248,1
249,2
250,1
251,2
252,3
253,4
254,1
255,2
256,3
257,1
258,2
259,3
260,1
261,2
262,1
263,2
264,1
265,2
266,1
267,2
268,3
269,4
270,5
271,6
272,1
273,2
274,1
275,2
276,3
277,4
278,1
279,1
280,2
281,3
282,4
283,5
284,1
285,2
286,3
287,4
288,5
289,1
290,1
291,2
292,3
293,4
294,5
295,1
296,2
297,1
298,2
299,3
300,4
301,1
302,2
303,1
304,2
305,1
306,1
307,2
308,3
309,1
310,2
311,1
312,1
313,1
314,2
315,1
316,2
317,3
318,4
319,1
320,2
321,3
322,1
323,1
324,2
325,3
326,4
327,1
328,2
329,3
330,4
331,5
332,1
333,2
334,3
335,4
336,1
337,2
338,1
339,2
340,1
341,2
342,3
343,1
344,2
345,3
346,4
347,5
348,1
349,2
350,3
351,1
352,1
353,2
354,3
355,4
356,5
357,1
358,1
359,1
360,2
361,1
362,2
363,3
364,4
365,5
366,6
367,7
368,8
369,1
370,2
371,1
372,1
373,2
374,1
375,1
376,2
377,1
378,2
379,1
380,2
381,3
382,1
383,1
384,1
385,2
386,3
387,1
388,2
389,1
390,1
391,2
392,3
393,4
394,1
395,2
396,3
397,4
398,5
399,6
400,7
401,1
402,2
403,3
404,4
405,5
406,6
407,7
408,1
409,2
410,1
411,2
412,1
413,2
414,3
415,1
416,2
417,1
418,2
419,3
420,4
421,1
422,1
423,2
424,1
425,2
426,1
427,1
428,2
429,1
430,1
431,1
432,2
433,1
434,1
435,2
436,1
437,1
438,1
439,2
440,3
441,4
442,5
443,1
444,2
445,1
446,2
447,3
448,4
449,1
450,2
451,3
452,4
453,5
454,6
455,1
456,2
457,1
458,1
459,2
460,3
461,1
462,2
463,1
464,1
465,2
466,1
467,2
468,3
469,4
470,1
471,1
472,2
473,3
474,4
475,1
476,2
477,3
478,1
479,2
480,1
481,2
482,3
483,1
484,1
485,2
486,3
487,1
488,2
489,1
490,2
491,3
492,4
493,1
494,2
495,1
496,2
497,1
498,1
499,1
500,2
501,1
502,2
503,3
504,1
505,2
506,3
507,4
508,5
509,1
510,2
511,3
512,4
513,5
514,6
515,7
516,1
517,2
518,1
519,1
520,1
521,2
522,1
523,2
524,3
525,4
526,5
527,6
528,1
529,1
530,1
531,1
532,2
533,1
534,1
535,2
536,1
537,2
538,1
539,2
540,3
541,1
542,2
543,1
544,1
545,2
546,3
547,4
548,1
549,2
550,1
551,2
552,1
553,2
554,3
555,4
556,5
557,1
558,2
559,1
560,2
561,3
562,4
563,5
564,1
565,1
566,2
567,3
568,4
569,1
570,2
571,1
572,2
573,1
574,2
575,1
576,2
577,3
578,1
579,1
580,1
581,2
582,1
583,1
584,2
585,1
586,1
587,2
588,3
589,1
590,1
591,2
592,1
593,1
594,1
595,1
596,1
597,2
598,1
599,2
600,1
601,1
602,2
603,1
604,1
605,1
606,1
607,2
608,3
609,1
610,1
611,2
612,3
613,4
614,5
615,1
616,1
617,1
618,2
619,1
620,2
621,3
622,1
623,1
624,2
625,3
626,4
627,1
628,1
629,2
630,1
631,2
632,1
633,2
634,3
635,4
636,5
637,6
638,7
639,1
640,2
641,3
642,1
643,2
644,3
645,4
646,5
647,6
648,7
649,8
650,1
651,2
652,3
653,1
654,1
655,1
656,1
657,2
658,3
659,4
660,5
661,1
662,2
663,3
664,4
665,5
666,6
667,7
668,8
669,1
670,2
671,1
672,1
673,2
674,3
675,4
676,5
677,1
678,2
679,3
680,4
681,1
682,1
683,2
684,3
685,4
686,1
687,1
688,2
689,3
690,4
691,5
692,6
693,1
694,2
695,1
696,1
697,1
698,2
699,1
700,2
701,1
702,2
703,3
704,4
705,1
706,2
707,1
708,1
709,1
710,2
711,1
712,2
713,1
714,1
715,2
716,1
717,1
718,2
719,1
720,2
721,1
722,2
723,1
724,1
725,2
726,3
727,4
728,1
729,2
730,1
731,2
732,1
733,2
734,1
735,2
736,3
737,4
738,1
739,1
740,1
741,2
742,3
743,4
744,5
745,6
746,1
747,2
748,3
749,4
750,1
751,2
752,3
753,4
754,1
755,2
756,1
757,2
758,1
759,2
760,1
761,1
762,1
763,1
764,2
765,1
766,1
767,2
768,3
769,1
770,2
771,1
772,2
773,1
774,2
775,3
776,1
777,2
778,1
779,2
780,1
781,2
782,1
783,2
784,3
785,1
786,2
787,1
788,2
789,1
790,2
791,3
792,4
793,1
794,2
795,1
796,2
797,1
798,2
799,3
800,1
801,2
802,3
803,4
804,1
805,2
806,1
807,1
808,2
809,1
810,2
811,1
812,2
813,1
814,1
815,2
816,1
817,2
818,1
819,2
820,3
821,1
822,2
823,1
824,2
825,3
826,4
827,1
828,2
829,1
830,2
831,3
832,4
833,5
834,1
835,2
836,1
837,2
838,1
839,1
840,2
841,3
842,1
843,1
844,1
845,1
846,2
847,1
848,1
849,2
850,3
851,1
852,2
853,3
854,4
855,1
856,2
857,1
858,2
859,3
860,4
861,5
862,6
863,7
864,1
865,2
866,1
867,2
868,3
869,4
870,1
871,2
872,3
873,4
874,5
875,1
876,1
877,2
878,3
879,4
880,5
881,1
882,2
883,1
884,2
885,1
886,1
887,2
888,3
889,4
890,1
891,2
892,1
893,1
894,1
895,2
896,3
897,1
898,2
899,1
900,1
901,2
902,3
903,4
904,5
905,6
906,7
907,8
908,9
909,1
910,2
911,1
912,2
913,1
914,1
915,2
916,1
917,2
918,3
919,4
920,1
921,1
922,2
923,1
924,2
925,1
926,2
927,1
928,1
929,2
930,1
931,2
932,3
933,4
934,5
935,6
936,7
937,1
938,2
939,1
940,2
941,1
942,2
943,3
944,4
945,5
946,1
947,2
948,3
949,4
950,1
951,2
952,1
953,2
954,3
955,4
956,5
957,1
958,2
959,1
960,2
961,3
962,1
