,ADJINC,PWGTP,AGEP,CIT,CITWP
0,1056030,5,66,1,
1,1056030,5,64,1,
2,1056030,27,31,1,
3,1056030,19,21,1,
4,1056030,9,70,1,
5,1056030,16,65,1,
6,1056030,15,63,1,
7,1056030,8,71,1,
8,1056030,8,66,1,
9,1056030,17,44,1,
10,1056030,75,37,1,
11,1056030,72,25,1,
12,1056030,15,82,1,
13,1056030,13,75,1,
14,1056030,14,58,1,
15,1056030,12,61,3,
16,1056030,18,40,1,
17,1056030,15,37,1,
18,1056030,17,8,1,
19,1056030,5,55,1,
20,1056030,20,29,1,
21,1056030,29,32,1,
22,1056030,12,1,1,
23,1056030,29,24,1,
24,1056030,12,24,1,
25,1056030,17,2,1,
26,1056030,17,0,1,
27,1056030,32,36,1,
28,1056030,16,73,1,
29,1056030,41,32,1,
30,1056030,35,9,1,
31,1056030,35,5,1,
32,1056030,15,67,1,
33,1056030,17,65,1,
34,1056030,4,58,1,
35,1056030,5,59,1,
36,1056030,18,32,1,
37,1056030,11,23,1,
38,1056030,12,28,1,
39,1056030,11,30,1,
40,1056030,15,6,1,
41,1056030,13,4,1,
42,1056030,17,2,1,
43,1056030,28,54,1,
44,1056030,32,51,1,
45,1056030,27,21,1,
46,1056030,25,80,3,
47,1056030,19,70,5,
48,1056030,22,49,1,
49,1056030,33,17,1,
50,1056030,32,1,1,
51,1056030,84,20,1,
52,1056030,69,19,1,
53,1056030,21,60,1,
54,1056030,22,70,1,
55,1056030,19,69,1,
56,1056030,12,36,1,
57,1056030,67,29,1,
58,1056030,20,69,1,
59,1056030,19,68,1,
60,1056030,16,51,1,
61,1056030,32,28,1,
62,1056030,14,32,1,
63,1056030,15,35,1,
64,1056030,19,3,1,
65,1056030,19,0,1,
66,1056030,16,74,1,
67,1056030,20,82,1,
68,1056030,62,64,1,
69,1056030,67,63,1,
70,1056030,76,35,1,
71,1056030,32,32,5,
72,1056030,19,16,1,
73,1056030,27,12,1,
74,1056030,19,12,1,
75,1056030,25,33,1,
76,1056030,24,30,1,
77,1056030,16,1,1,
78,1056030,62,21,1,
79,1056030,24,57,3,
80,1056030,23,60,1,
81,1056030,79,62,1,
82,1056030,56,58,1,
83,1056030,14,49,1,
84,1056030,16,47,1,
85,1056030,15,50,1,
86,1056030,11,45,1,
87,1056030,19,20,1,
88,1056030,11,17,1,
89,1056030,4,74,1,
90,1056030,4,75,1,
91,1056030,13,29,4,2004.0
92,1056030,21,32,5,
93,1056030,15,7,1,
94,1056030,15,5,1,
95,1056030,19,1,1,
96,1056030,17,0,1,
97,1056030,73,32,1,
98,1056030,78,32,1,
99,1056030,69,7,1,
100,1056030,70,5,1,
101,1056030,70,5,1,
102,1056030,2,76,1,
103,1056030,11,49,1,
104,1056030,17,75,1,
105,1056030,10,69,1,
106,1056030,19,21,1,
107,1056030,23,21,1,
108,1056030,24,21,1,
109,1056030,23,21,1,
110,1056030,18,21,1,
111,1056030,27,74,1,
112,1056030,28,33,1,
113,1056030,28,37,1,
114,1056030,27,3,1,
115,1056030,27,0,1,
116,1056030,27,56,1,
117,1056030,26,59,1,
118,1056030,30,66,1,
119,1056030,24,19,1,
120,1056030,36,42,1,
121,1056030,24,54,1,
122,1056030,21,50,1,
123,1056030,19,20,1,
124,1056030,6,56,1,
125,1056030,6,88,1,
126,1056030,19,64,1,
127,1056030,19,63,1,
128,1056030,12,46,1,
129,1056030,13,48,1,
130,1056030,32,18,1,
131,1056030,31,27,1,
132,1056030,20,25,5,
133,1056030,27,3,1,
134,1056030,12,51,1,
135,1056030,14,51,1,
136,1056030,22,18,1,
137,1056030,18,16,1,
138,1056030,14,10,1,
139,1056030,43,67,1,
140,1056030,14,43,1,
141,1056030,10,10,1,
142,1056030,12,36,1,
143,1056030,29,77,1,
144,1056030,27,76,1,
145,1056030,5,51,1,
146,1056030,4,51,1,
147,1056030,8,26,1,
148,1056030,7,1,1,
149,1056030,7,31,4,2012.0
150,1056030,3,17,1,
151,1056030,25,48,1,
152,1056030,31,48,1,
153,1056030,23,35,1,
154,1056030,24,37,1,
155,1056030,23,16,1,
156,1056030,23,14,1,
157,1056030,36,1,1,
158,1056030,56,38,1,
159,1056030,59,35,1,
160,1056030,4,36,4,2001.0
161,1056030,3,37,1,
162,1056030,3,10,1,
163,1056030,3,7,1,
