,PUMA,ST
0,400,16
1,400,16
2,800,16
3,100,16
4,100,16
5,200,16
6,200,16
7,1100,16
8,1100,16
9,300,16
10,200,16
11,200,16
12,1100,16
13,1100,16
14,100,16
15,100,16
16,1200,16
17,1200,16
18,1200,16
19,300,16
20,1000,16
21,1000,16
22,1000,16
23,100,16
24,100,16
25,100,16
26,100,16
27,1200,16
28,800,16
29,300,16
30,300,16
31,300,16
32,1200,16
33,1200,16
34,300,16
35,300,16
36,1200,16
37,1200,16
38,500,16
39,500,16
40,500,16
41,500,16
42,500,16
43,400,16
44,400,16
45,1300,16
46,100,16
47,100,16
48,900,16
49,900,16
50,900,16
51,702,16
52,702,16
53,200,16
54,600,16
55,600,16
56,100,16
57,702,16
58,800,16
59,800,16
60,1300,16
61,701,16
62,500,16
63,500,16
64,500,16
65,500,16
66,701,16
67,701,16
68,701,16
69,701,16
70,701,16
71,500,16
72,500,16
73,500,16
74,500,16
75,1100,16
76,1100,16
77,1100,16
78,600,16
79,100,16
80,100,16
81,200,16
82,200,16
83,100,16
84,100,16
85,200,16
86,200,16
87,200,16
88,200,16
89,100,16
90,100,16
91,1100,16
92,1100,16
93,1100,16
94,1100,16
95,1100,16
96,1100,16
97,701,16
98,701,16
99,701,16
100,701,16
101,701,16
102,800,16
103,300,16
104,600,16
105,600,16
106,702,16
107,702,16
108,702,16
109,702,16
110,702,16
111,800,16
112,600,16
113,600,16
114,600,16
115,600,16
116,600,16
117,600,16
118,701,16
119,701,16
120,500,16
121,702,16
122,702,16
123,702,16
124,100,16
125,200,16
126,1200,16
127,1200,16
128,1100,16
129,1100,16
130,1100,16
131,1200,16
132,1200,16
133,1200,16
134,1100,16
135,1100,16
136,1100,16
137,1100,16
138,1100,16
139,200,16
140,100,16
141,100,16
142,100,16
143,100,16
144,100,16
145,1200,16
146,1200,16
147,1200,16
148,1200,16
149,1200,16
150,1200,16
151,1000,16
152,1000,16
153,400,16
154,400,16
155,400,16
156,400,16
157,400,16
158,702,16
159,702,16
160,500,16
161,500,16
162,500,16
163,500,16
164,500,16
165,200,16
166,200,16
167,200,16
168,1300,16
169,1100,16
170,1100,16
171,600,16
172,600,16
173,500,16
174,702,16
175,300,16
176,300,16
177,300,16
178,300,16
179,300,16
180,300,16
181,300,16
182,300,16
183,300,16
184,300,16
185,701,16
186,701,16
187,1000,16
188,300,16
189,500,16
190,701,16
191,701,16
192,702,16
193,702,16
194,1100,16
195,1100,16
196,100,16
197,100,16
198,500,16
199,500,16
200,100,16
201,900,16
202,900,16
203,900,16
204,1300,16
205,1300,16
206,100,16
207,100,16
208,600,16
209,1100,16
210,1100,16
211,1100,16
212,200,16
213,100,16
214,100,16
215,100,16
216,100,16
217,100,16
218,702,16
219,200,16
220,200,16
221,1000,16
222,1000,16
223,1300,16
224,1300,16
225,1300,16
226,1300,16
227,100,16
228,100,16
229,200,16
230,300,16
231,300,16
232,300,16
233,300,16
234,300,16
235,300,16
236,300,16
237,1200,16
238,1200,16
239,500,16
240,300,16
241,300,16
242,300,16
243,300,16
244,900,16
245,900,16
246,1000,16
247,1000,16
248,1300,16
249,1300,16
250,300,16
251,300,16
252,300,16
253,300,16
254,1100,16
255,1100,16
256,1100,16
257,1100,16
258,1100,16
259,1100,16
260,300,16
261,300,16
262,500,16
263,500,16
264,500,16
265,500,16
266,400,16
267,400,16
268,400,16
269,400,16
270,400,16
271,400,16
272,100,16
273,100,16
274,500,16
275,500,16
276,500,16
277,500,16
278,702,16
279,1000,16
280,1000,16
281,1000,16
282,1000,16
283,1000,16
284,100,16
285,100,16
286,100,16
287,100,16
288,100,16
289,800,16
290,300,16
291,300,16
292,300,16
293,300,16
294,300,16
295,300,16
296,300,16
297,300,16
298,300,16
299,300,16
300,300,16
301,1000,16
302,1000,16
303,1000,16
304,1000,16
305,702,16
306,300,16
307,300,16
308,300,16
309,300,16
310,300,16
311,800,16
312,500,16
313,300,16
314,300,16
315,100,16
316,100,16
317,100,16
318,100,16
319,1300,16
320,1300,16
321,1300,16
322,100,16
323,701,16
324,701,16
325,701,16
326,701,16
327,100,16
328,100,16
329,100,16
330,100,16
331,100,16
332,900,16
333,900,16
334,900,16
335,900,16
336,1000,16
337,1000,16
338,500,16
339,500,16
340,1200,16
341,1200,16
342,1200,16
343,800,16
344,800,16
345,800,16
346,800,16
347,800,16
348,1000,16
349,1000,16
350,1000,16
351,300,16
352,100,16
353,100,16
354,100,16
355,100,16
356,100,16
357,600,16
358,1100,16
359,900,16
360,900,16
361,100,16
362,100,16
363,100,16
364,100,16
365,100,16
366,100,16
367,100,16
368,100,16
369,300,16
370,300,16
371,1000,16
372,1100,16
373,1100,16
374,800,16
375,100,16
376,100,16
377,702,16
378,702,16
379,1000,16
380,1000,16
381,1000,16
382,1200,16
383,300,16
384,800,16
385,800,16
386,800,16
387,200,16
388,200,16
389,800,16
390,1100,16
391,1100,16
392,1100,16
393,1100,16
394,1300,16
395,1300,16
396,1300,16
397,1300,16
398,1300,16
399,1300,16
400,1300,16
401,701,16
402,701,16
403,701,16
404,701,16
405,701,16
406,701,16
407,701,16
408,300,16
409,300,16
410,200,16
411,200,16
412,800,16
413,800,16
414,800,16
415,400,16
416,400,16
417,200,16
418,200,16
419,200,16
420,200,16
421,100,16
422,200,16
423,200,16
424,1200,16
425,1200,16
426,1200,16
427,900,16
428,900,16
429,900,16
430,702,16
431,100,16
432,100,16
433,400,16
434,600,16
435,600,16
436,1200,16
437,702,16
438,1000,16
439,1000,16
440,1000,16
441,1000,16
442,1000,16
443,600,16
444,600,16
445,800,16
446,800,16
447,800,16
448,800,16
449,400,16
450,400,16
451,400,16
452,400,16
453,400,16
454,400,16
455,701,16
456,701,16
457,200,16
458,1100,16
459,1100,16
460,1100,16
461,200,16
462,200,16
463,800,16
464,600,16
465,600,16
466,300,16
467,300,16
468,300,16
469,300,16
470,800,16
471,1100,16
472,1100,16
473,1100,16
474,1100,16
475,1100,16
476,1100,16
477,1100,16
478,1300,16
479,1300,16
480,1300,16
481,1300,16
482,1300,16
483,300,16
484,200,16
485,200,16
486,200,16
487,300,16
488,300,16
489,1300,16
490,1300,16
491,1300,16
492,1300,16
493,600,16
494,600,16
495,300,16
496,300,16
497,100,16
498,800,16
499,300,16
500,300,16
501,300,16
502,300,16
503,300,16
504,900,16
505,900,16
506,900,16
507,900,16
508,900,16
509,500,16
510,500,16
511,500,16
512,500,16
513,500,16
514,500,16
515,500,16
516,1300,16
517,1300,16
518,701,16
519,702,16
520,400,16
521,400,16
522,701,16
523,701,16
524,701,16
525,701,16
526,701,16
527,701,16
528,1000,16
529,1300,16
530,400,16
531,800,16
532,800,16
533,800,16
534,500,16
535,500,16
536,702,16
537,702,16
538,500,16
539,500,16
540,500,16
541,200,16
542,200,16
543,300,16
544,300,16
545,300,16
546,300,16
547,300,16
548,100,16
549,100,16
550,900,16
551,900,16
552,100,16
553,100,16
554,100,16
555,100,16
556,100,16
557,1300,16
558,1300,16
559,300,16
560,300,16
561,300,16
562,300,16
563,300,16
564,200,16
565,300,16
566,300,16
567,300,16
568,300,16
569,400,16
570,400,16
571,200,16
572,200,16
573,1300,16
574,1300,16
575,300,16
576,300,16
577,300,16
578,300,16
579,800,16
580,1300,16
581,1300,16
582,1000,16
583,500,16
584,500,16
585,600,16
586,1100,16
587,1100,16
588,1100,16
589,900,16
590,900,16
