,RT,SERIALNO
0,P,2012000000259
1,P,2012000000259
2,P,2012000000628
3,P,2012000000638
4,P,2012000000642
5,P,2012000000890
6,P,2012000000890
7,P,2012000001004
8,P,2012000001004
9,P,2012000001382
10,P,2012000001748
11,P,2012000001748
12,P,2012000001956
13,P,2012000001956
14,P,2012000002820
15,P,2012000002820
16,P,2012000002826
17,P,2012000002826
18,P,2012000002826
19,P,2012000002871
20,P,2012000003232
21,P,2012000003232
22,P,2012000003232
23,P,2012000003355
24,P,2012000003355
25,P,2012000003355
26,P,2012000003355
27,P,2012000004090
28,P,2012000004139
29,P,2012000004150
30,P,2012000004150
31,P,2012000004150
32,P,2012000004191
33,P,2012000004191
34,P,2012000004509
35,P,2012000004509
36,P,2012000004887
37,P,2012000004887
38,P,2012000005538
39,P,2012000005538
40,P,2012000005538
41,P,2012000005538
42,P,2012000005538
43,P,2012000005812
44,P,2012000005812
45,P,2012000006095
46,P,2012000006598
47,P,2012000006598
48,P,2012000007377
49,P,2012000007377
50,P,2012000007377
51,P,2012000007451
52,P,2012000007451
53,P,2012000007574
54,P,2012000009029
55,P,2012000009029
56,P,2012000009047
57,P,2012000009223
58,P,2012000009734
59,P,2012000009734
60,P,2012000009747
61,P,2012000009989
62,P,2012000010422
63,P,2012000010422
64,P,2012000010422
65,P,2012000010422
66,P,2012000010769
67,P,2012000010769
68,P,2012000010789
69,P,2012000010789
70,P,2012000010789
71,P,2012000011034
72,P,2012000011034
73,P,2012000011034
74,P,2012000011034
75,P,2012000011037
76,P,2012000011037
77,P,2012000011037
78,P,2012000011250
79,P,2012000011664
80,P,2012000011664
81,P,2012000012277
82,P,2012000012277
83,P,2012000012767
84,P,2012000012767
85,P,2012000013248
86,P,2012000013248
87,P,2012000013248
88,P,2012000013248
89,P,2012000013692
90,P,2012000013692
91,P,2012000014138
92,P,2012000014138
93,P,2012000014138
94,P,2012000014138
95,P,2012000014138
96,P,2012000014138
97,P,2012000014795
98,P,2012000014795
99,P,2012000014795
100,P,2012000014795
101,P,2012000014795
102,P,2012000015133
103,P,2012000015139
104,P,2012000015140
105,P,2012000015140
106,P,2012000015270
107,P,2012000015270
108,P,2012000015270
109,P,2012000015270
110,P,2012000015270
111,P,2012000015303
