,AGEP
0,66
1,64
2,31
3,21
4,70
5,65
6,63
7,71
8,66
9,44
10,37
11,25
12,82
13,75
14,58
15,61
16,40
17,37
18,8
19,55
20,29
21,32
22,1
23,24
24,24
25,2
26,0
27,36
28,73
29,32
30,9
31,5
32,67
33,65
34,58
35,59
36,32
37,23
38,28
39,30
40,6
41,4
42,2
43,54
44,51
45,21
46,80
47,70
48,49
49,17
50,1
51,20
52,19
53,60
54,70
55,69
56,36
57,29
58,69
59,68
60,51
61,28
62,32
63,35
64,3
65,0
66,74
67,82
68,64
69,63
70,35
71,32
72,16
73,12
74,12
75,33
76,30
77,1
78,21
79,57
80,60
81,62
82,58
83,49
84,47
85,50
86,45
87,20
88,17
89,74
90,75
91,29
92,32
93,7
94,5
95,1
96,0
97,32
98,32
99,7
100,5
101,5
102,76
103,49
104,75
105,69
106,21
107,21
108,21
109,21
110,21
111,74
112,33
113,37
114,3
115,0
116,56
117,59
118,66
119,19
120,42
121,54
122,50
123,20
124,56
125,88
126,64
127,63
128,46
129,48
130,18
131,27
132,25
133,3
134,51
135,51
136,18
137,16
138,10
139,67
140,43
141,10
142,36
143,77
144,76
145,51
146,51
147,26
148,1
149,31
150,17
151,48
152,48
153,35
154,37
155,16
156,14
157,1
158,38
159,35
160,36
161,37
162,10
163,7
164,5
165,51
166,55
167,12
168,57
169,49
170,49
171,73
172,71
173,78
174,65
175,50
176,26
177,29
178,9
179,3
180,69
181,43
182,22
183,1
184,44
185,48
186,59
187,71
188,64
189,93
190,71
191,65
192,61
193,56
194,69
195,69
196,65
197,86
198,31
199,63
200,87
201,81
202,61
203,42
204,82
205,68
206,77
207,69
208,19
209,40
210,47
211,11
212,59
213,31
214,34
215,52
216,30
217,2
218,32
219,59
220,60
221,61
222,57
223,60
224,59
225,27
226,23
227,38
228,37
229,80
230,51
231,22
232,20
233,44
234,44
235,15
236,13
237,65
238,63
239,74
240,64
241,63
242,89
243,89
244,59
245,61
246,65
247,63
248,26
249,32
250,20
251,22
252,4
253,2
254,53
255,50
256,20
257,46
258,14
259,56
260,65
261,59
262,62
263,84
264,61
265,59
266,42
267,39
268,17
269,15
270,13
271,11
272,69
273,68
274,38
275,38
276,13
277,10
278,47
279,30
280,30
281,6
282,4
283,1
284,45
285,40
286,8
287,29
288,4
289,84
290,25
291,0
292,6
293,4
294,25
295,45
296,45
297,36
298,34
299,14
300,6
301,18
302,18
303,68
304,68
305,51
306,60
307,58
308,28
309,53
310,71
311,32
312,85
313,72
314,76
315,27
316,0
317,7
318,27
319,61
320,60
321,25
322,59
323,49
324,47
325,14
326,16
327,42
328,2
329,1
330,14
331,48
332,28
333,28
334,8
335,5
336,63
337,62
338,48
339,20
340,54
341,52
342,31
343,36
344,40
345,9
346,7
347,5
348,23
349,1
350,23
351,73
352,37
353,44
354,11
355,9
356,6
357,19
358,50
359,65
360,56
361,29
362,26
363,6
364,5
365,4
366,3
367,1
368,0
369,71
370,80
371,26
372,47
373,18
374,83
375,73
376,72
377,61
378,45
379,51
380,14
381,11
382,86
383,66
384,58
385,45
386,17
387,50
388,47
389,67
390,53
391,53
392,33
393,53
394,29
395,39
396,4
397,1
398,17
399,16
400,60
401,54
402,53
403,25
404,23
405,20
406,17
407,15
408,51
409,52
410,24
411,27
412,44
413,56
414,17
415,69
416,56
417,49
418,59
419,21
420,0
421,81
422,67
423,41
424,56
425,48
426,69
427,57
428,58
429,31
430,32
431,70
432,66
433,72
434,64
435,46
436,61
437,49
438,45
439,59
440,11
441,9
442,9
443,46
444,6
445,36
446,36
447,7
448,4
449,42
450,47
451,19
452,15
453,14
454,2
455,80
456,79
457,60
458,28
459,28
460,2
461,60
462,60
463,34
464,35
465,31
466,37
467,35
468,1
469,4
470,62
471,38
472,18
473,17
474,15
475,47
476,47
477,15
478,54
479,52
480,41
481,33
482,2
483,21
484,27
485,29
486,5
487,52
488,58
489,33
490,29
491,4
492,2
493,65
494,47
495,60
496,64
497,63
498,53
499,73
500,59
501,61
