,AGEP,CITWP,DDRS
0,66,,2.0
1,64,,2.0
2,31,,2.0
3,21,,2.0
4,70,,2.0
5,65,,2.0
6,63,,2.0
7,71,,2.0
8,66,,2.0
9,44,,2.0
10,37,,2.0
11,25,,2.0
12,82,,2.0
13,75,,2.0
14,58,,2.0
15,61,,2.0
16,40,,2.0
17,37,,2.0
18,8,,2.0
19,55,,2.0
20,29,,2.0
21,32,,2.0
22,1,,
23,24,,2.0
24,24,,2.0
25,2,,
26,0,,
27,36,,2.0
28,73,,2.0
29,32,,2.0
30,9,,2.0
31,5,,2.0
32,67,,2.0
33,65,,2.0
34,58,,2.0
35,59,,2.0
36,32,,2.0
37,23,,2.0
38,28,,2.0
39,30,,2.0
40,6,,2.0
41,4,,
42,2,,
43,54,,2.0
44,51,,2.0
45,21,,2.0
46,80,,2.0
47,70,,2.0
48,49,,2.0
49,17,,2.0
50,1,,
51,20,,2.0
52,19,,2.0
53,60,,2.0
54,70,,2.0
55,69,,2.0
56,36,,2.0
57,29,,2.0
58,69,,2.0
59,68,,2.0
60,51,,2.0
61,28,,2.0
62,32,,2.0
63,35,,2.0
64,3,,
65,0,,
66,74,,2.0
67,82,,1.0
68,64,,2.0
69,63,,2.0
70,35,,2.0
71,32,,2.0
72,16,,2.0
73,12,,2.0
74,12,,2.0
75,33,,2.0
76,30,,2.0
77,1,,
78,21,,2.0
79,57,,2.0
80,60,,2.0
81,62,,2.0
82,58,,2.0
83,49,,2.0
84,47,,2.0
85,50,,2.0
86,45,,2.0
87,20,,2.0
88,17,,2.0
89,74,,2.0
90,75,,2.0
91,29,2004.0,2.0
92,32,,2.0
93,7,,2.0
94,5,,2.0
95,1,,
96,0,,
97,32,,2.0
98,32,,2.0
99,7,,2.0
100,5,,2.0
101,5,,2.0
102,76,,2.0
103,49,,2.0
104,75,,2.0
105,69,,2.0
106,21,,2.0
107,21,,2.0
108,21,,2.0
109,21,,2.0
110,21,,2.0
111,74,,2.0
112,33,,2.0
113,37,,2.0
114,3,,
115,0,,
116,56,,2.0
117,59,,2.0
118,66,,2.0
119,19,,2.0
120,42,,2.0
121,54,,2.0
122,50,,2.0
123,20,,2.0
124,56,,2.0
125,88,,2.0
126,64,,2.0
127,63,,2.0
128,46,,2.0
129,48,,2.0
130,18,,2.0
131,27,,2.0
132,25,,2.0
133,3,,
134,51,,2.0
135,51,,2.0
136,18,,2.0
137,16,,2.0
138,10,,2.0
139,67,,2.0
140,43,,2.0
141,10,,2.0
142,36,,2.0
143,77,,2.0
144,76,,2.0
145,51,,2.0
146,51,,2.0
147,26,,2.0
148,1,,
149,31,2012.0,2.0
150,17,,2.0
151,48,,2.0
152,48,,2.0
153,35,,2.0
154,37,,2.0
155,16,,2.0
156,14,,1.0
157,1,,
158,38,,2.0
159,35,,2.0
160,36,2001.0,2.0
161,37,,2.0
162,10,,2.0
163,7,,2.0
164,5,,2.0
165,51,,2.0
166,55,,2.0
167,12,,2.0
168,57,,2.0
169,49,,2.0
170,49,,2.0
171,73,,2.0
172,71,,2.0
173,78,,2.0
174,65,,2.0
175,50,,2.0
176,26,,2.0
177,29,,2.0
178,9,,2.0
179,3,,
180,69,,2.0
181,43,,2.0
182,22,,2.0
183,1,,
184,44,,2.0
185,48,,2.0
186,59,,2.0
187,71,,2.0
188,64,,2.0
189,93,,1.0
190,71,,2.0
191,65,,2.0
192,61,,2.0
193,56,,2.0
194,69,,2.0
195,69,,2.0
196,65,,2.0
197,86,,2.0
198,31,,2.0
199,63,,2.0
200,87,,1.0
201,81,,2.0
202,61,,2.0
203,42,,2.0
204,82,,2.0
205,68,,2.0
206,77,,2.0
207,69,,2.0
208,19,,2.0
209,40,,2.0
210,47,,2.0
211,11,,2.0
212,59,,2.0
213,31,,2.0
214,34,,2.0
215,52,,2.0
216,30,,2.0
217,2,,
218,32,,2.0
219,59,,2.0
220,60,,2.0
221,61,,2.0
222,57,,2.0
223,60,,2.0
224,59,,2.0
225,27,,2.0
226,23,,2.0
227,38,,2.0
228,37,,2.0
229,80,,2.0
230,51,,2.0
231,22,,2.0
232,20,,2.0
233,44,,2.0
234,44,,2.0
235,15,,2.0
236,13,,2.0
237,65,,2.0
238,63,,2.0
239,74,,2.0
240,64,,2.0
241,63,,2.0
242,89,,2.0
243,89,,1.0
244,59,,1.0
245,61,,2.0
246,65,,2.0
247,63,,2.0
248,26,,2.0
249,32,,2.0
250,20,,2.0
251,22,,2.0
252,4,,
253,2,,
254,53,,2.0
255,50,,2.0
256,20,,2.0
257,46,,2.0
258,14,,2.0
259,56,,2.0
260,65,,2.0
261,59,,2.0
262,62,,2.0
263,84,,2.0
264,61,,2.0
265,59,,2.0
266,42,,2.0
267,39,,2.0
268,17,,2.0
269,15,,2.0
270,13,,2.0
271,11,,2.0
272,69,,2.0
273,68,,2.0
274,38,,2.0
275,38,,2.0
276,13,,2.0
277,10,,2.0
278,47,,2.0
279,30,,2.0
280,30,,2.0
281,6,,2.0
282,4,,
283,1,,
284,45,,2.0
285,40,,2.0
286,8,,2.0
287,29,,2.0
288,4,,
289,84,,2.0
290,25,,2.0
291,0,,
292,6,,2.0
293,4,,
294,25,,2.0
295,45,,2.0
296,45,,2.0
297,36,,2.0
298,34,,2.0
299,14,,2.0
300,6,,2.0
301,18,,2.0
302,18,,2.0
303,68,,2.0
304,68,,2.0
305,51,,2.0
306,60,,2.0
307,58,,2.0
308,28,,2.0
309,53,2012.0,2.0
310,71,,2.0
311,32,2006.0,2.0
312,85,,2.0
313,72,,2.0
314,76,,2.0
315,27,,2.0
316,0,,
317,7,,2.0
318,27,,2.0
319,61,,2.0
320,60,1958.0,2.0
321,25,,2.0
322,59,,2.0
323,49,,2.0
324,47,,2.0
325,14,,2.0
326,16,,2.0
327,42,,2.0
328,2,,
329,1,,
330,14,,2.0
331,48,,2.0
332,28,,2.0
333,28,,2.0
334,8,,2.0
335,5,,2.0
336,63,,2.0
337,62,,2.0
338,48,,2.0
339,20,,2.0
340,54,,2.0
341,52,,2.0
342,31,,2.0
343,36,,2.0
344,40,,2.0
345,9,,2.0
346,7,,2.0
347,5,,2.0
348,23,,2.0
349,1,,
350,23,,2.0
351,73,,2.0
352,37,,2.0
353,44,,2.0
354,11,,2.0
355,9,,2.0
356,6,,2.0
357,19,,2.0
358,50,,2.0
359,65,,2.0
360,56,,2.0
361,29,,2.0
362,26,,2.0
363,6,,2.0
364,5,,2.0
365,4,,
366,3,,
367,1,,
368,0,,
369,71,,2.0
370,80,,2.0
371,26,,2.0
372,47,,2.0
373,18,,2.0
374,83,1957.0,2.0
375,73,,2.0
376,72,,2.0
377,61,,2.0
378,45,,2.0
379,51,,2.0
380,14,,2.0
381,11,,1.0
382,86,,2.0
383,66,,2.0
384,58,,2.0
385,45,,2.0
386,17,,2.0
387,50,,2.0
388,47,,2.0
389,67,,2.0
390,53,,2.0
391,53,,2.0
392,33,,2.0
393,53,,1.0
394,29,,2.0
395,39,,2.0
396,4,,
397,1,,
398,17,,2.0
399,16,,2.0
400,60,,1.0
401,54,,2.0
402,53,,2.0
403,25,,2.0
404,23,,2.0
405,20,,2.0
406,17,,2.0
407,15,,2.0
408,51,,2.0
409,52,,1.0
410,24,,2.0
411,27,,2.0
412,44,,2.0
413,56,,2.0
414,17,,2.0
415,69,,2.0
416,56,,2.0
417,49,,2.0
418,59,,2.0
419,21,,2.0
420,0,,
421,81,1960.0,2.0
422,67,,2.0
423,41,,2.0
424,56,,2.0
425,48,,2.0
426,69,,2.0
427,57,,2.0
428,58,1992.0,2.0
429,31,,2.0
430,32,,2.0
431,70,,2.0
432,66,,2.0
433,72,,2.0
434,64,,2.0
435,46,,2.0
436,61,,2.0
437,49,,2.0
438,45,,2.0
439,59,,2.0
440,11,,2.0
441,9,,2.0
442,9,,2.0
443,46,,2.0
444,6,,2.0
445,36,,2.0
446,36,,2.0
447,7,,2.0
448,4,,
449,42,,2.0
450,47,,2.0
451,19,,2.0
452,15,,2.0
453,14,,2.0
454,2,,
455,80,,2.0
456,79,,2.0
457,60,,2.0
458,28,,2.0
459,28,,2.0
460,2,,
461,60,,2.0
462,60,,2.0
463,34,,2.0
464,35,,2.0
465,31,,2.0
466,37,,2.0
467,35,,2.0
468,1,,
469,4,2009.0,
470,62,,2.0
471,38,,2.0
472,18,,2.0
473,17,,2.0
474,15,,2.0
475,47,,2.0
476,47,,2.0
477,15,,2.0
478,54,,2.0
479,52,,2.0
480,41,,2.0
481,33,,2.0
482,2,,
483,21,,2.0
484,27,,2.0
485,29,,2.0
486,5,,2.0
487,52,,2.0
488,58,,2.0
489,33,,2.0
490,29,,2.0
491,4,,
492,2,,
493,65,,2.0
494,47,,2.0
495,60,,2.0
496,64,,2.0
497,63,,2.0
498,53,,2.0
499,73,,2.0
500,59,,2.0
501,61,,2.0
502,59,,2.0
503,93,,1.0
504,76,,2.0
505,77,,2.0
506,13,,2.0
507,11,,2.0
508,10,,2.0
509,52,,2.0
510,52,,2.0
511,27,,2.0
512,23,,2.0
513,20,,2.0
514,2,,
515,66,,2.0
516,56,,2.0
517,68,,2.0
518,63,,2.0
519,48,,2.0
520,57,,2.0
521,16,,2.0
522,69,,2.0
523,37,,2.0
524,8,,2.0
525,0,,
526,48,,2.0
527,74,,2.0
528,72,,2.0
529,66,,2.0
530,56,,2.0
531,61,,2.0
532,50,,2.0
533,34,,2.0
534,77,,2.0
535,72,,2.0
536,75,,2.0
537,72,,2.0
538,53,,2.0
539,58,,2.0
540,38,,2.0
541,23,,2.0
542,22,,2.0
543,52,,2.0
544,47,,2.0
545,45,,2.0
546,15,,2.0
547,10,,2.0
548,74,,2.0
549,73,,2.0
550,42,,2.0
551,74,,2.0
552,33,,2.0
553,31,,2.0
554,6,,2.0
555,3,,
556,0,,
557,63,,2.0
558,68,,2.0
559,66,,2.0
560,42,,2.0
561,38,,2.0
562,10,,2.0
563,6,,2.0
564,37,,2.0
565,58,,2.0
566,51,,2.0
567,22,,2.0
568,21,,2.0
569,70,,2.0
570,77,,2.0
571,46,,2.0
572,47,,2.0
573,47,,2.0
574,39,,2.0
575,63,,2.0
576,63,,2.0
577,38,,2.0
578,23,,2.0
579,36,,2.0
580,75,,2.0
581,73,,2.0
582,77,1961.0,2.0
583,85,,1.0
584,74,,2.0
585,44,,2.0
586,59,,2.0
587,56,,2.0
588,88,,1.0
589,64,,1.0
590,49,,2.0
591,56,,2.0
592,37,,2.0
593,70,,2.0
594,81,,2.0
595,93,,1.0
596,51,,2.0
597,50,,2.0
598,57,,2.0
599,58,,2.0
600,67,,2.0
601,84,,2.0
602,78,,2.0
603,60,1972.0,2.0
604,45,,2.0
605,85,,2.0
606,48,,2.0
607,13,,2.0
608,76,,2.0
609,79,,2.0
610,43,,2.0
611,46,,2.0
612,21,,2.0
613,19,,2.0
614,0,,
615,68,,2.0
616,23,,2.0
617,68,,2.0
618,68,,2.0
619,30,,2.0
620,5,,2.0
621,35,,2.0
622,86,1965.0,2.0
623,49,,2.0
624,46,,2.0
625,22,,2.0
626,20,,2.0
627,71,,2.0
628,49,,2.0
629,47,,2.0
630,53,,2.0
631,52,,2.0
632,46,,2.0
633,36,,2.0
634,17,,2.0
635,13,,2.0
636,12,,2.0
637,6,,2.0
638,2,,
639,49,,2.0
640,43,,2.0
641,12,,2.0
642,38,,2.0
