,RT,SERIALNO
0,H,2012000000259
1,H,2012000000628
2,H,2012000000638
3,H,2012000000642
4,H,2012000000890
5,H,2012000001004
6,H,2012000001208
7,H,2012000001382
8,H,2012000001748
9,H,2012000001759
10,H,2012000001956
11,H,2012000002820
12,H,2012000002826
13,H,2012000002871
14,H,2012000003214
15,H,2012000003232
16,H,2012000003355
17,H,2012000003440
18,H,2012000004090
19,H,2012000004139
20,H,2012000004150
21,H,2012000004191
22,H,2012000004509
23,H,2012000004887
24,H,2012000005538
25,H,2012000005812
26,H,2012000006095
27,H,2012000006598
28,H,2012000007377
29,H,2012000007451
30,H,2012000007574
31,H,2012000009029
32,H,2012000009047
33,H,2012000009223
34,H,2012000009734
35,H,2012000009747
36,H,2012000009989
37,H,2012000010422
38,H,2012000010769
39,H,2012000010789
40,H,2012000011034
41,H,2012000011037
42,H,2012000011081
43,H,2012000011250
44,H,2012000011664
45,H,2012000011807
46,H,2012000012277
47,H,2012000012767
48,H,2012000013248
49,H,2012000013692
50,H,2012000014138
51,H,2012000014795
52,H,2012000015133
53,H,2012000015139
54,H,2012000015140
55,H,2012000015270
56,H,2012000015303
57,H,2012000015483
58,H,2012000015552
59,H,2012000015615
60,H,2012000015855
61,H,2012000015973
62,H,2012000016038
63,H,2012000016416
64,H,2012000016609
65,H,2012000016788
66,H,2012000017201
67,H,2012000017206
68,H,2012000017503
69,H,2012000017539
70,H,2012000017595
71,H,2012000018505
72,H,2012000018963
73,H,2012000019110
74,H,2012000019197
75,H,2012000019231
76,H,2012000019366
77,H,2012000019411
78,H,2012000019540
79,H,2012000019751
80,H,2012000020092
81,H,2012000020361
82,H,2012000020672
83,H,2012000020799
84,H,2012000021293
85,H,2012000021688
86,H,2012000021718
87,H,2012000021748
88,H,2012000022112
89,H,2012000022162
90,H,2012000022578
91,H,2012000022615
92,H,2012000022640
93,H,2012000022906
94,H,2012000023137
95,H,2012000023681
96,H,2012000023706
97,H,2012000024107
98,H,2012000024413
99,H,2012000024563
100,H,2012000025091
101,H,2012000025266
102,H,2012000025797
103,H,2012000026044
104,H,2012000026927
105,H,2012000027206
106,H,2012000027302
107,H,2012000027329
108,H,2012000027412
109,H,2012000027491
110,H,2012000027618
111,H,2012000027630
112,H,2012000028152
113,H,2012000028165
114,H,2012000028258
115,H,2012000028341
116,H,2012000028646
117,H,2012000028726
118,H,2012000028750
119,H,2012000028781
120,H,2012000029254
121,H,2012000029357
122,H,2012000029406
123,H,2012000029527
124,H,2012000029557
125,H,2012000029610
126,H,2012000029741
127,H,2012000029775
128,H,2012000030214
129,H,2012000030638
130,H,2012000030646
131,H,2012000030669
132,H,2012000030804
133,H,2012000030880
134,H,2012000031048
135,H,2012000031121
136,H,2012000031174
137,H,2012000031328
138,H,2012000031869
139,H,2012000032091
140,H,2012000032154
141,H,2012000032194
142,H,2012000032197
143,H,2012000032228
144,H,2012000032346
145,H,2012000032430
146,H,2012000032528
147,H,2012000033010
148,H,2012000033163
149,H,2012000033186
150,H,2012000033571
151,H,2012000033730
152,H,2012000033784
153,H,2012000033862
154,H,2012000034143
155,H,2012000034155
156,H,2012000034255
157,H,2012000034466
158,H,2012000034727
159,H,2012000034732
160,H,2012000034825
161,H,2012000034899
162,H,2012000035480
163,H,2012000035584
164,H,2012000035613
165,H,2012000035873
166,H,2012000036040
167,H,2012000036234
168,H,2012000036376
169,H,2012000036426
170,H,2012000036568
171,H,2012000036616
172,H,2012000036705
173,H,2012000036805
174,H,2012000037092
175,H,2012000037120
176,H,2012000037597
177,H,2012000037840
178,H,2012000038015
179,H,2012000038143
180,H,2012000038195
181,H,2012000038290
182,H,2012000038352
183,H,2012000038653
184,H,2012000038923
185,H,2012000039284
186,H,2012000039407
187,H,2012000039425
188,H,2012000039844
189,H,2012000039948
190,H,2012000040033
191,H,2012000040082
192,H,2012000040439
193,H,2012000040576
194,H,2012000040650
195,H,2012000040828
196,H,2012000040871
197,H,2012000040951
198,H,2012000041228
199,H,2012000041241
200,H,2012000041803
201,H,2012000042509
202,H,2012000042521
203,H,2012000042644
204,H,2012000043106
205,H,2012000043412
206,H,2012000044381
207,H,2012000045407
208,H,2012000046252
209,H,2012000046387
210,H,2012000046683
211,H,2012000046747
212,H,2012000046843
213,H,2012000047136
214,H,2012000047607
215,H,2012000047714
216,H,2012000047836
217,H,2012000048141
218,H,2012000048169
219,H,2012000048737
220,H,2012000048796
221,H,2012000049013
222,H,2012000049080
223,H,2012000049106
224,H,2012000049365
225,H,2012000049504
226,H,2012000049670
227,H,2012000050133
228,H,2012000050159
229,H,2012000050218
230,H,2012000050501
231,H,2012000050526
232,H,2012000050803
233,H,2012000051285
234,H,2012000051711
235,H,2012000051735
236,H,2012000051961
237,H,2012000052239
238,H,2012000052714
239,H,2012000052833
240,H,2012000052953
241,H,2012000052984
242,H,2012000052985
243,H,2012000053143
244,H,2012000053336
245,H,2012000053356
246,H,2012000053511
