,DIVISION,PUMA
0,8,400
1,8,800
2,8,100
3,8,100
4,8,200
5,8,1100
6,8,500
7,8,300
8,8,200
9,8,100
10,8,1100
11,8,100
12,8,1200
13,8,300
14,8,300
15,8,1000
16,8,100
17,8,1100
18,8,1200
19,8,800
20,8,300
21,8,1200
22,8,300
23,8,1200
24,8,500
25,8,400
26,8,1300
27,8,100
28,8,900
29,8,702
30,8,200
31,8,600
32,8,100
33,8,702
34,8,800
35,8,1300
36,8,701
37,8,500
38,8,701
39,8,701
40,8,500
41,8,1100
42,8,200
43,8,600
44,8,100
45,8,600
46,8,200
47,8,100
48,8,200
49,8,100
50,8,1100
51,8,701
52,8,800
53,8,300
54,8,600
55,8,702
56,8,800
57,8,600
58,8,600
59,8,701
60,8,500
61,8,702
62,8,100
63,8,200
64,8,1200
65,8,1100
66,8,1200
67,8,1100
68,8,200
69,8,100
70,8,100
71,8,1200
72,8,1000
73,8,400
74,8,1300
75,8,702
76,8,500
77,8,200
78,8,1300
79,8,1100
80,8,600
81,8,500
82,8,702
83,8,300
84,8,300
85,8,300
86,8,701
87,8,1000
88,8,300
89,8,500
90,8,701
91,8,702
92,8,1100
93,8,100
94,8,500
95,8,100
96,8,900
97,8,1300
98,8,100
99,8,600
100,8,1100
101,8,200
102,8,100
103,8,100
104,8,702
105,8,200
106,8,1000
107,8,1300
108,8,100
109,8,200
110,8,300
111,8,300
112,8,1200
113,8,500
114,8,300
115,8,900
116,8,1000
117,8,1300
118,8,300
119,8,1100
120,8,1100
121,8,300
122,8,500
123,8,500
124,8,702
125,8,400
126,8,100
127,8,500
128,8,702
129,8,1000
130,8,100
131,8,800
132,8,300
133,8,300
134,8,1100
135,8,300
136,8,1000
137,8,1000
138,8,702
139,8,300
140,8,300
141,8,800
142,8,500
143,8,300
144,8,100
145,8,1300
146,8,100
147,8,701
148,8,100
149,8,900
150,8,1000
151,8,500
152,8,1200
153,8,800
154,8,1000
155,8,300
156,8,100
157,8,600
158,8,1000
159,8,1100
160,8,900
161,8,100
162,8,300
163,8,1000
164,8,1100
165,8,800
166,8,100
167,8,1100
168,8,702
169,8,100
170,8,1000
171,8,1200
172,8,300
173,8,800
174,8,200
175,8,800
176,8,1100
177,8,1300
178,8,701
179,8,300
180,8,200
181,8,800
182,8,400
183,8,200
184,8,100
185,8,300
186,8,100
187,8,200
188,8,1200
189,8,1200
190,8,900
191,8,900
192,8,702
193,8,100
194,8,400
195,8,600
196,8,1200
197,8,702
198,8,1000
199,8,600
200,8,800
201,8,400
202,8,701
203,8,200
204,8,1100
205,8,200
206,8,800
207,8,600
208,8,300
209,8,800
210,8,1100
211,8,1100
212,8,1300
213,8,100
214,8,100
215,8,1300
216,8,300
217,8,200
218,8,300
219,8,1300
220,8,600
221,8,300
222,8,200
223,8,300
224,8,100
225,8,800
226,8,300
227,8,300
228,8,900
229,8,500
230,8,1300
231,8,701
232,8,702
233,8,400
234,8,701
235,8,1000
236,8,1000
237,8,1300
238,8,400
239,8,500
240,8,800
241,8,800
242,8,500
243,8,702
244,8,500
245,8,500
246,8,200
247,8,702
248,8,300
249,8,300
250,8,100
251,8,900
252,8,100
253,8,1300
254,8,300
255,8,200
256,8,300
257,8,400
258,8,200
259,8,1300
260,8,300
261,8,300
262,8,800
263,8,1300
264,8,1000
265,8,500
266,8,1100
267,8,500
268,8,600
269,8,1100
270,8,900
271,8,900
272,8,900
273,8,800
274,8,300
