,SERIALNO,DIVISION
0,2012000000259,8
1,2012000000628,8
2,2012000000638,8
3,2012000000642,8
4,2012000000890,8
5,2012000001004,8
6,2012000001208,8
7,2012000001382,8
8,2012000001748,8
9,2012000001759,8
10,2012000001956,8
11,2012000002820,8
12,2012000002826,8
13,2012000002871,8
14,2012000003214,8
15,2012000003232,8
16,2012000003355,8
17,2012000003440,8
18,2012000004090,8
19,2012000004139,8
20,2012000004150,8
21,2012000004191,8
22,2012000004509,8
23,2012000004887,8
24,2012000005538,8
25,2012000005812,8
26,2012000006095,8
27,2012000006598,8
28,2012000007377,8
29,2012000007451,8
30,2012000007574,8
31,2012000009029,8
32,2012000009047,8
33,2012000009223,8
34,2012000009734,8
35,2012000009747,8
36,2012000009989,8
37,2012000010422,8
38,2012000010769,8
39,2012000010789,8
40,2012000011034,8
41,2012000011037,8
42,2012000011081,8
43,2012000011250,8
44,2012000011664,8
45,2012000011807,8
46,2012000012277,8
47,2012000012767,8
48,2012000013248,8
49,2012000013692,8
50,2012000014138,8
51,2012000014795,8
52,2012000015133,8
53,2012000015139,8
54,2012000015140,8
55,2012000015270,8
56,2012000015303,8
57,2012000015483,8
58,2012000015552,8
59,2012000015615,8
60,2012000015855,8
61,2012000015973,8
62,2012000016038,8
63,2012000016416,8
64,2012000016609,8
65,2012000016788,8
66,2012000017201,8
67,2012000017206,8
68,2012000017503,8
69,2012000017539,8
70,2012000017595,8
71,2012000018505,8
72,2012000018963,8
73,2012000019110,8
74,2012000019197,8
75,2012000019231,8
76,2012000019366,8
77,2012000019411,8
78,2012000019540,8
79,2012000019751,8
80,2012000020092,8
81,2012000020361,8
82,2012000020672,8
83,2012000020799,8
84,2012000021293,8
85,2012000021688,8
86,2012000021718,8
87,2012000021748,8
88,2012000022112,8
89,2012000022162,8
90,2012000022578,8
91,2012000022615,8
92,2012000022640,8
93,2012000022906,8
94,2012000023137,8
95,2012000023681,8
96,2012000023706,8
97,2012000024107,8
98,2012000024413,8
99,2012000024563,8
100,2012000025091,8
101,2012000025266,8
102,2012000025797,8
103,2012000026044,8
104,2012000026927,8
105,2012000027206,8
106,2012000027302,8
107,2012000027329,8
108,2012000027412,8
109,2012000027491,8
110,2012000027618,8
111,2012000027630,8
112,2012000028152,8
113,2012000028165,8
114,2012000028258,8
115,2012000028341,8
116,2012000028646,8
117,2012000028726,8
118,2012000028750,8
119,2012000028781,8
120,2012000029254,8
121,2012000029357,8
122,2012000029406,8
123,2012000029527,8
124,2012000029557,8
125,2012000029610,8
126,2012000029741,8
127,2012000029775,8
128,2012000030214,8
129,2012000030638,8
130,2012000030646,8
131,2012000030669,8
132,2012000030804,8
133,2012000030880,8
134,2012000031048,8
135,2012000031121,8
136,2012000031174,8
137,2012000031328,8
138,2012000031869,8
139,2012000032091,8
140,2012000032154,8
141,2012000032194,8
142,2012000032197,8
143,2012000032228,8
144,2012000032346,8
145,2012000032430,8
146,2012000032528,8
147,2012000033010,8
148,2012000033163,8
149,2012000033186,8
150,2012000033571,8
151,2012000033730,8
152,2012000033784,8
153,2012000033862,8
154,2012000034143,8
155,2012000034155,8
156,2012000034255,8
157,2012000034466,8
158,2012000034727,8
159,2012000034732,8
160,2012000034825,8
161,2012000034899,8
162,2012000035480,8
163,2012000035584,8
164,2012000035613,8
165,2012000035873,8
166,2012000036040,8
167,2012000036234,8
168,2012000036376,8
169,2012000036426,8
170,2012000036568,8
171,2012000036616,8
172,2012000036705,8
173,2012000036805,8
174,2012000037092,8
175,2012000037120,8
176,2012000037597,8
177,2012000037840,8
178,2012000038015,8
179,2012000038143,8
180,2012000038195,8
181,2012000038290,8
182,2012000038352,8
183,2012000038653,8
184,2012000038923,8
185,2012000039284,8
186,2012000039407,8
187,2012000039425,8
188,2012000039844,8
189,2012000039948,8
190,2012000040033,8
191,2012000040082,8
192,2012000040439,8
193,2012000040576,8
194,2012000040650,8
195,2012000040828,8
196,2012000040871,8
197,2012000040951,8
198,2012000041228,8
199,2012000041241,8
200,2012000041803,8
201,2012000042509,8
202,2012000042521,8
203,2012000042644,8
204,2012000043106,8
205,2012000043412,8
206,2012000044381,8
207,2012000045407,8
208,2012000046252,8
209,2012000046387,8
210,2012000046683,8
211,2012000046747,8
212,2012000046843,8
213,2012000047136,8
214,2012000047607,8
215,2012000047714,8
216,2012000047836,8
217,2012000048141,8
218,2012000048169,8
219,2012000048737,8
220,2012000048796,8
221,2012000049013,8
222,2012000049080,8
223,2012000049106,8
224,2012000049365,8
225,2012000049504,8
226,2012000049670,8
227,2012000050133,8
228,2012000050159,8
229,2012000050218,8
230,2012000050501,8
231,2012000050526,8
232,2012000050803,8
233,2012000051285,8
234,2012000051711,8
235,2012000051735,8
236,2012000051961,8
237,2012000052239,8
238,2012000052714,8
239,2012000052833,8
240,2012000052953,8
241,2012000052984,8
242,2012000052985,8
243,2012000053143,8
244,2012000053336,8
245,2012000053356,8
246,2012000053511,8
247,2012000054589,8
248,2012000054592,8
249,2012000054782,8
250,2012000054827,8
251,2012000055132,8
252,2012000055139,8
253,2012000055143,8
254,2012000055607,8
255,2012000055811,8
256,2012000055822,8
257,2012000055868,8
258,2012000056082,8
259,2012000056200,8
260,2012000056265,8
261,2012000056279,8
262,2012000056643,8
263,2012000056677,8
264,2012000056680,8
265,2012000056827,8
266,2012000057070,8
267,2012000057244,8
268,2012000057378,8
269,2012000057912,8
270,2012000058589,8
271,2012000058795,8
272,2012000058858,8
273,2012000058868,8
274,2012000059406,8
275,2012000060046,8
276,2012000060163,8
277,2012000060849,8
278,2012000061406,8
279,2012000061721,8
280,2012000061834,8
281,2012000061971,8
282,2012000062125,8
283,2012000062289,8
284,2012000062342,8
285,2012000062701,8
286,2012000063060,8
287,2012000063120,8
288,2012000063272,8
289,2012000063343,8
290,2012000063494,8
291,2012000063936,8
292,2012000063956,8
293,2012000064069,8
294,2012000064299,8
295,2012000064432,8
296,2012000064563,8
297,2012000064609,8
298,2012000064808,8
299,2012000064833,8
300,2012000064892,8
301,2012000064927,8
302,2012000065351,8
303,2012000065441,8
304,2012000066263,8
305,2012000066471,8
306,2012000067628,8
307,2012000067981,8
308,2012000067991,8
309,2012000068041,8
310,2012000068126,8
311,2012000068422,8
312,2012000068677,8
313,2012000069015,8
314,2012000069142,8
315,2012000069246,8
316,2012000069284,8
317,2012000069554,8
318,2012000069720,8
319,2012000069898,8
320,2012000069970,8
321,2012000070379,8
322,2012000070666,8
323,2012000071197,8
324,2012000071583,8
325,2012000071689,8
326,2012000071898,8
327,2012000071936,8
328,2012000071945,8
329,2012000072116,8
330,2012000072248,8
331,2012000072526,8
332,2012000072552,8
333,2012000072575,8
334,2012000072682,8
335,2012000072726,8
336,2012000072869,8
337,2012000073054,8
338,2012000073233,8
339,2012000073704,8
340,2012000073774,8
341,2012000073797,8
342,2012000073854,8
343,2012000074105,8
344,2012000074314,8
345,2012000074339,8
346,2012000074517,8
347,2012000074699,8
348,2012000074779,8
349,2012000075034,8
350,2012000075622,8
351,2012000075791,8
352,2012000075862,8
353,2012000075984,8
354,2012000077160,8
355,2012000077214,8
356,2012000077243,8
357,2012000077445,8
358,2012000077511,8
359,2012000077940,8
360,2012000078131,8
361,2012000079068,8
362,2012000079154,8
363,2012000079377,8
364,2012000079592,8
365,2012000079632,8
366,2012000079758,8
367,2012000080002,8
368,2012000080156,8
369,2012000080515,8
370,2012000080934,8
371,2012000080977,8
372,2012000082432,8
373,2012000082577,8
374,2012000082795,8
375,2012000082809,8
376,2012000082899,8
377,2012000082984,8
378,2012000083148,8
379,2012000083217,8
380,2012000083368,8
381,2012000083402,8
382,2012000083953,8
383,2012000084114,8
384,2012000085128,8
385,2012000085143,8
386,2012000085232,8
387,2012000085289,8
388,2012000085340,8
389,2012000085433,8
390,2012000086161,8
391,2012000086292,8
392,2012000086313,8
393,2012000086664,8
394,2012000086668,8
395,2012000086820,8
396,2012000086864,8
397,2012000087085,8
398,2012000087316,8
399,2012000087549,8
400,2012000087558,8
401,2012000087603,8
402,2012000087730,8
403,2012000087884,8
404,2012000088261,8
405,2012000088457,8
406,2012000088677,8
407,2012000088817,8
408,2012000088852,8
409,2012000089010,8
410,2012000089464,8
411,2012000089746,8
412,2012000090678,8
413,2012000090738,8
414,2012000090913,8
415,2012000092306,8
416,2012000092307,8
417,2012000092423,8
418,2012000092434,8
419,2012000092582,8
420,2012000092789,8
421,2012000092922,8
422,2012000092927,8
423,2012000093041,8
424,2012000093175,8
425,2012000093332,8
426,2012000093518,8
427,2012000093934,8
428,2012000094007,8
429,2012000094121,8
430,2012000094139,8
431,2012000094265,8
432,2012000094459,8
433,2012000094473,8
434,2012000094531,8
435,2012000095054,8
436,2012000095111,8
437,2012000095541,8
438,2012000095782,8
439,2012000096045,8
440,2012000096093,8
441,2012000096150,8
442,2012000096386,8
443,2012000096501,8
444,2012000096526,8
445,2012000096645,8
446,2012000097202,8
447,2012000097361,8
448,2012000098169,8
449,2012000098698,8
450,2012000098914,8
451,2012000099180,8
452,2012000099216,8
453,2012000099369,8
454,2012000099467,8
455,2012000100153,8
456,2012000100175,8
457,2012000100286,8
458,2012000101058,8
459,2012000101128,8
460,2012000101170,8
461,2012000101550,8
462,2012000101557,8
463,2012000101585,8
464,2012000102517,8
465,2012000102642,8
466,2012000102717,8
467,2012000102760,8
468,2012000103231,8
469,2012000103316,8
470,2012000103718,8
471,2012000103748,8
472,2012000104023,8
473,2012000104244,8
474,2012000104537,8
475,2012000104722,8
476,2012000105190,8
477,2012000105267,8
478,2012000105398,8
479,2012000105786,8
480,2012000105872,8
481,2012000106131,8
482,2012000106618,8
483,2012000106680,8
484,2012000106754,8
485,2012000106902,8
486,2012000107106,8
487,2012000108073,8
488,2012000108087,8
489,2012000108156,8
490,2012000108354,8
491,2012000108450,8
492,2012000108894,8
493,2012000109350,8
494,2012000109554,8
495,2012000109578,8
496,2012000109966,8
497,2012000110149,8
498,2012000110271,8
499,2012000110473,8
500,2012000110587,8
501,2012000110921,8
502,2012000110951,8
503,2012000111044,8
504,2012000111236,8
505,2012000111803,8
506,2012000112192,8
507,2012000112605,8
508,2012000112714,8
509,2012000112908,8
510,2012000113547,8
511,2012000113570,8
512,2012000113796,8
513,2012000113885,8
514,2012000113978,8
515,2012000114060,8
516,2012000114064,8
517,2012000114583,8
518,2012000114822,8
519,2012000114836,8
520,2012000115271,8
521,2012000115647,8
522,2012000115822,8
523,2012000115905,8
524,2012000116326,8
525,2012000116443,8
526,2012000116563,8
527,2012000116640,8
528,2012000116762,8
529,2012000117232,8
530,2012000117245,8
531,2012000117248,8
532,2012000117424,8
533,2012000117490,8
534,2012000117776,8
535,2012000117800,8
536,2012000118066,8
537,2012000118156,8
538,2012000118243,8
539,2012000118385,8
540,2012000118434,8
541,2012000118444,8
542,2012000119114,8
543,2012000119204,8
544,2012000119654,8
545,2012000119735,8
546,2012000119887,8
547,2012000119964,8
548,2012000120022,8
549,2012000120114,8
550,2012000120330,8
551,2012000120547,8
552,2012000120704,8
553,2012000120772,8
554,2012000121181,8
555,2012000121330,8
556,2012000121335,8
557,2012000121397,8
558,2012000121469,8
559,2012000121655,8
560,2012000121674,8
561,2012000121688,8
562,2012000121774,8
563,2012000121850,8
564,2012000122041,8
565,2012000122077,8
566,2012000122286,8
567,2012000122584,8
568,2012000122697,8
569,2012000122980,8
570,2012000123232,8
571,2012000123739,8
572,2012000123759,8
573,2012000123760,8
574,2012000124011,8
575,2012000124035,8
576,2012000124303,8
577,2012000124383,8
578,2012000124762,8
579,2012000124846,8
580,2012000124869,8
581,2012000125033,8
582,2012000125034,8
583,2012000125079,8
584,2012000125243,8
585,2012000125268,8
586,2012000125331,8
587,2012000125598,8
588,2012000125609,8
589,2012000125750,8
590,2012000125857,8
591,2012000126022,8
592,2012000126139,8
593,2012000126699,8
594,2012000127182,8
595,2012000127607,8
596,2012000127630,8
597,2012000127640,8
598,2012000127953,8
599,2012000128154,8
600,2012000128235,8
601,2012000128490,8
602,2012000128503,8
603,2012000128790,8
604,2012000128934,8
605,2012000128957,8
606,2012000129220,8
607,2012000129241,8
608,2012000129513,8
609,2012000129532,8
610,2012000129555,8
611,2012000129605,8
612,2012000130460,8
613,2012000130524,8
614,2012000130586,8
615,2012000130977,8
616,2012000130988,8
617,2012000131014,8
618,2012000131638,8
619,2012000131707,8
620,2012000131742,8
621,2012000132597,8
622,2012000132695,8
623,2012000132738,8
624,2012000132756,8
625,2012000132967,8
626,2012000133041,8
627,2012000133147,8
628,2012000133254,8
629,2012000133991,8
630,2012000134025,8
631,2012000134029,8
632,2012000134035,8
633,2012000134138,8
634,2012000134194,8
635,2012000134401,8
636,2012000134580,8
637,2012000134608,8
638,2012000134711,8
639,2012000134759,8
640,2012000135517,8
641,2012000135583,8
642,2012000135666,8
643,2012000135715,8
644,2012000137039,8
645,2012000137127,8
646,2012000137155,8
647,2012000137727,8
648,2012000138198,8
649,2012000138297,8
650,2012000138482,8
651,2012000138826,8
652,2012000139005,8
653,2012000139100,8
654,2012000139268,8
655,2012000139417,8
656,2012000139549,8
657,2012000139841,8
658,2012000140121,8
659,2012000140140,8
660,2012000140276,8
661,2012000140284,8
662,2012000140877,8
663,2012000141193,8
664,2012000141778,8
665,2012000141989,8
666,2012000142047,8
667,2012000142477,8
668,2012000142496,8
669,2012000142632,8
670,2012000142667,8
671,2012000142724,8
672,2012000143270,8
673,2012000143452,8
674,2012000143470,8
675,2012000143596,8
676,2012000143623,8
677,2012000143676,8
678,2012000143883,8
679,2012000143908,8
680,2012000144223,8
681,2012000144405,8
682,2012000144487,8
683,2012000144872,8
684,2012000145242,8
685,2012000145289,8
686,2012000145609,8
687,2012000145768,8
688,2012000145900,8
689,2012000146003,8
690,2012000146132,8
691,2012000146266,8
692,2012000146397,8
693,2012000146541,8
694,2012000146608,8
695,2012000146754,8
696,2012000146850,8
697,2012000146965,8
698,2012000147116,8
699,2012000147280,8
700,2012000147980,8
701,2012000148596,8
702,2012000149201,8
703,2012000149239,8
704,2012000149466,8
705,2012000149506,8
706,2012000149853,8
707,2012000149893,8
708,2012000149992,8
709,2012000150034,8
710,2012000150388,8
711,2012000150782,8
712,2012000150857,8
713,2012000151016,8
714,2012000151204,8
715,2012000151246,8
716,2012000151786,8
717,2012000152158,8
718,2012000152211,8
719,2012000152252,8
720,2012000152488,8
721,2012000153036,8
722,2012000153146,8
723,2012000153512,8
724,2012000154207,8
725,2012000154660,8
726,2012000154777,8
727,2012000155031,8
728,2012000155115,8
729,2012000155446,8
730,2012000155531,8
731,2012000155844,8
732,2012000155898,8
733,2012000156074,8
734,2012000156146,8
735,2012000156178,8
736,2012000156640,8
737,2012000156802,8
738,2012000156830,8
739,2012000157028,8
740,2012000157167,8
741,2012000157362,8
742,2012000157702,8
743,2012000158002,8
744,2012000158902,8
745,2012000159015,8
746,2012000159223,8
747,2012000159305,8
748,2012000159976,8
749,2012000160006,8
750,2012000160132,8
751,2012000160286,8
752,2012000160604,8
753,2012000160687,8
754,2012000160758,8
755,2012000160860,8
756,2012000161010,8
757,2012000161275,8
758,2012000161654,8
759,2012000161926,8
760,2012000162024,8
761,2012000162178,8
762,2012000162194,8
763,2012000162513,8
764,2012000162703,8
765,2012000162734,8
766,2012000163562,8
767,2012000163703,8
768,2012000164021,8
769,2012000164034,8
770,2012000164069,8
771,2012000164256,8
772,2012000164694,8
773,2012000164811,8
774,2012000164813,8
775,2012000165403,8
776,2012000165626,8
777,2012000165922,8
778,2012000166207,8
779,2012000166689,8
780,2012000167441,8
781,2012000167569,8
782,2012000167858,8
783,2012000168000,8
784,2012000168550,8
785,2012000169085,8
786,2012000169255,8
787,2012000169609,8
788,2012000169645,8
789,2012000169867,8
790,2012000169925,8
791,2012000170146,8
792,2012000170233,8
793,2012000170291,8
794,2012000170624,8
795,2012000170671,8
796,2012000170839,8
797,2012000170844,8
798,2012000170872,8
799,2012000171067,8
800,2012000171236,8
801,2012000171443,8
802,2012000171569,8
803,2012000171628,8
804,2012000171677,8
805,2012000171699,8
806,2012000171754,8
807,2012000171759,8
808,2012000171812,8
809,2012000171854,8
810,2012000171909,8
811,2012000172021,8
812,2012000172463,8
813,2012000172618,8
814,2012000173282,8
815,2012000173393,8
816,2012000173405,8
817,2012000173626,8
818,2012000173860,8
819,2012000173885,8
820,2012000173894,8
821,2012000173936,8
822,2012000174105,8
823,2012000174310,8
824,2012000174358,8
825,2012000174373,8
826,2012000174932,8
827,2012000175124,8
828,2012000175217,8
829,2012000175328,8
830,2012000175584,8
831,2012000176221,8
832,2012000176731,8
833,2012000176761,8
834,2012000176906,8
835,2012000176921,8
836,2012000176969,8
837,2012000177849,8
838,2012000178712,8
839,2012000178747,8
840,2012000178826,8
841,2012000179026,8
842,2012000179073,8
843,2012000179318,8
844,2012000179736,8
845,2012000179825,8
846,2012000179928,8
847,2012000180417,8
848,2012000180734,8
849,2012000180904,8
850,2012000180945,8
851,2012000181008,8
852,2012000181194,8
853,2012000181277,8
854,2012000181411,8
855,2012000181502,8
856,2012000181512,8
857,2012000181843,8
858,2012000181893,8
859,2012000181956,8
860,2012000182336,8
861,2012000182494,8
862,2012000182525,8
863,2012000182538,8
864,2012000182542,8
865,2012000182620,8
866,2012000182638,8
867,2012000182808,8
868,2012000183005,8
869,2012000183233,8
870,2012000183246,8
871,2012000183889,8
872,2012000183895,8
873,2012000184018,8
874,2012000184233,8
875,2012000184291,8
876,2012000184497,8
877,2012000184734,8
878,2012000185238,8
879,2012000185354,8
880,2012000185614,8
881,2012000185651,8
882,2012000185853,8
883,2012000186198,8
884,2012000186434,8
885,2012000186534,8
886,2012000186606,8
887,2012000186801,8
888,2012000187015,8
889,2012000187018,8
890,2012000187461,8
891,2012000187616,8
892,2012000187732,8
893,2012000187745,8
894,2012000187756,8
895,2012000187758,8
896,2012000187936,8
897,2012000187990,8
898,2012000188287,8
899,2012000188620,8
900,2012000188700,8
901,2012000189049,8
902,2012000189066,8
903,2012000189124,8
904,2012000189710,8
905,2012000189736,8
906,2012000189877,8
907,2012000189901,8
908,2012000189922,8
909,2012000190094,8
910,2012000190335,8
911,2012000191143,8
912,2012000191229,8
913,2012000191255,8
914,2012000191567,8
915,2012000191656,8
916,2012000191705,8
917,2012000192772,8
918,2012000193079,8
919,2012000193272,8
920,2012000193551,8
921,2012000193558,8
922,2012000193632,8
923,2012000193719,8
924,2012000193766,8
925,2012000193847,8
926,2012000193934,8
927,2012000194059,8
928,2012000194075,8
929,2012000194197,8
930,2012000194249,8
931,2012000195115,8
932,2012000195275,8
933,2012000195627,8
934,2012000195782,8
935,2012000195816,8
936,2012000196082,8
937,2012000196196,8
938,2012000196224,8
939,2012000196380,8
940,2012000196596,8
941,2012000196750,8
942,2012000197290,8
943,2012000197330,8
944,2012000197374,8
945,2012000197404,8
946,2012000197442,8
947,2012000197658,8
948,2012000197725,8
949,2012000198554,8
950,2012000198792,8
951,2012000199306,8
952,2012000199795,8
953,2012000199849,8
954,2012000200028,8
955,2012000200257,8
956,2012000200422,8
957,2012000200815,8
958,2012000201098,8
959,2012000201330,8
960,2012000201395,8
961,2012000201407,8
962,2012000201507,8
963,2012000201532,8
964,2012000201700,8
965,2012000201904,8
966,2012000201918,8
967,2012000201925,8
968,2012000202088,8
969,2012000202096,8
970,2012000202165,8
971,2012000202308,8
972,2012000202320,8
973,2012000202331,8
974,2012000202383,8
975,2012000202569,8
976,2012000202719,8
977,2012000202781,8
978,2012000203031,8
979,2012000203413,8
980,2012000203429,8
981,2012000204366,8
982,2012000204629,8
983,2012000204745,8
984,2012000205002,8
985,2012000205121,8
986,2012000205198,8
987,2012000205289,8
988,2012000205366,8
989,2012000205422,8
990,2012000205745,8
991,2012000205789,8
992,2012000206262,8
993,2012000207042,8
994,2012000207289,8
995,2012000207570,8
996,2012000207721,8
997,2012000208291,8
998,2012000208365,8
999,2012000208379,8
1000,2012000208457,8
1001,2012000208642,8
1002,2012000208699,8
1003,2012000208945,8
1004,2012000209007,8
1005,2012000209886,8
1006,2012000209907,8
1007,2012000210182,8
1008,2012000210366,8
1009,2012000210624,8
1010,2012000210729,8
1011,2012000210869,8
1012,2012000211079,8
1013,2012000211251,8
1014,2012000211281,8
1015,2012000211309,8
1016,2012000211586,8
1017,2012000211896,8
1018,2012000211916,8
1019,2012000212103,8
1020,2012000212282,8
1021,2012000212338,8
1022,2012000212713,8
1023,2012000213069,8
1024,2012000213457,8
1025,2012000213496,8
1026,2012000213744,8
1027,2012000214113,8
1028,2012000214259,8
1029,2012000214391,8
1030,2012000214621,8
1031,2012000214636,8
1032,2012000214772,8
1033,2012000214882,8
1034,2012000215045,8
1035,2012000215050,8
1036,2012000215294,8
1037,2012000215366,8
1038,2012000215662,8
1039,2012000215700,8
1040,2012000215793,8
1041,2012000215949,8
1042,2012000216035,8
1043,2012000216085,8
